stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,disable_tp,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,n_exit_TP,skipped_min_sl,pct_notional_capped,avg_notional,p95_notional,max_notional,score
chandelier,20,3.0,3.0,0.0,0.0,60,,False,False,4504,2805,62.2780,100000.00,943816.68,843816.68,843.82,-2.69,187.3483,14,10,-3213.39,8773.09,2.6325,187.3483,372,249.00,33.30,331654.23,500000.00,500000.00,1179.59
chandelier,5,3.0,1.5,0.0,0.0,60,,False,False,4491,2896,64.4845,100000.00,941893.14,841893.14,841.89,-2.37,187.4623,18,8,-2758.99,9126.86,2.7802,187.4623,734,262.00,32.26,323159.23,500000.00,500000.00,1396.53
chandelier,15,3.0,3.0,0.0,0.0,60,,False,False,4505,2826,62.7303,100000.00,941452.77,841452.77,841.45,-2.74,186.7820,15,11,-3279.54,8754.32,2.6423,186.7820,361,248.00,33.19,330427.90,500000.00,500000.00,1158.28
chandelier,10,2.0,3.0,0.0,0.0,40,,False,False,4392,2878,65.5282,100000.00,937800.16,837800.16,837.80,-1.64,190.7560,16,9,-3117.60,6613.94,2.8626,190.7560,344,361.00,44.85,372752.52,500000.00,500000.00,2050.44
chandelier,15,3.0,2.0,0.0,0.0,60,,False,False,4505,2878,63.8846,100000.00,937102.19,837102.19,837.10,-2.77,185.8162,15,11,-3279.54,7725.46,2.6663,185.8162,614,248.00,33.19,330427.90,500000.00,500000.00,1155.66
chandelier,10,3.0,1.0,0.0,0.0,60,,False,False,4498,3092,68.7417,100000.00,936696.54,836696.54,836.70,-2.51,186.0152,18,10,-3010.63,8538.04,2.8704,186.0152,1158,255.00,32.77,327578.97,500000.00,500000.00,1370.19
chandelier,10,4.0,2.0,0.0,0.0,80,,False,False,4561,2821,61.8505,100000.00,935924.95,835924.95,835.92,-2.24,183.2767,16,13,-3875.80,8721.13,2.6825,183.2767,540,192.00,25.39,295281.25,500000.00,500000.00,1414.58
chandelier,15,4.0,2.5,0.0,0.0,80,,False,False,4538,2784,61.3486,100000.00,935549.00,835549.00,835.55,-3.15,184.1227,12,14,-4084.35,8022.98,2.6530,184.1227,421,215.00,25.41,295452.03,500000.00,500000.00,994.14
chandelier,15,3.0,2.5,0.0,0.0,60,,False,False,4505,2842,63.0855,100000.00,935307.32,835307.32,835.31,-2.76,185.4178,15,11,-3279.54,8172.97,2.6385,185.4178,456,248.00,33.19,330427.90,500000.00,500000.00,1143.17
chandelier,20,3.0,1.5,0.0,0.0,60,,False,False,4504,2933,65.1199,100000.00,934239.19,834239.19,834.24,-2.70,185.2218,14,10,-3213.39,7068.37,2.7001,185.2218,853,249.00,33.30,331654.23,500000.00,500000.00,1200.03
