stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,disable_tp,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,n_exit_TP,skipped_min_sl,pct_notional_capped,avg_notional,p95_notional,max_notional,score
chandelier,15,1,2,0,0,80,,FALSE,FALSE,4497,4076,90.6382,100000,1833653.75,1733653.75,1733.65,-1.42,385.5134,84,3,-829.43,39418.24,20.1556,385.5134,229,256,26.53,266314.34,500000,500000,6966.7
chandelier,15,1,3,0,0,80,,FALSE,FALSE,4497,4069,90.4825,100000,1834960.42,1734960.42,1734.96,-1.42,385.804,84,3,-829.43,40154.54,20.007,385.804,121,256,26.53,266314.34,500000,500000,6966.26
chandelier,5,1,1,0,0,180,,FALSE,FALSE,4608,4365,94.7266,100000,2088407.96,1988407.96,1988.41,-1.67,431.5121,109,3,-940.95,50491.3,35.2725,431.5121,308,145,15.23,187934.56,500000,500000,6948.39
chandelier,5,1,3,0,0,80,,FALSE,FALSE,4498,4042,89.8622,100000,1820407.47,1720407.47,1720.41,-1.43,382.4828,73,3,-909.34,35674.85,18.0343,382.4828,135,255,26.12,265027.72,500000,500000,6871.13
chandelier,5,1,1,0,0,160,,FALSE,FALSE,4595,4342,94.494,100000,2065891.82,1965891.82,1965.89,-1.67,427.8328,107,3,-940.95,49492.91,33.2729,427.8328,330,158,16.41,197783.05,500000,500000,6861.5
chandelier,15,1,1,0,0,40,,FALSE,FALSE,4340,3667,84.4931,100000,1450693.97,1350693.97,1350.69,-1.09,311.2198,35,5,-1313.42,14764.83,10.0585,311.2198,776,413,42.93,350397.75,500000,500000,6835.96
chandelier,20,2,2.5,0,0,100,,FALSE,FALSE,4516,3697,81.8645,100000,1564750.67,1464750.67,1464.75,-1.17,324.3469,44,5,-1454.21,20927.6,7.0307,324.3469,254,237,27.15,274875.62,500000,500000,6833.57
chandelier,20,1,1,0,0,40,,FALSE,FALSE,4318,3649,84.5067,100000,1446542.06,1346542.06,1346.54,-1.09,311.8439,34,3,-1323.08,14758.58,10.1103,311.8439,774,435,43.17,350422.43,500000,500000,6816.62
chandelier,20,2,3,0,0,100,,FALSE,FALSE,4516,3688,81.6652,100000,1561118.19,1461118.19,1461.12,-1.17,323.5426,44,5,-1454.21,20604.68,6.9797,323.5426,189,237,27.15,274875.62,500000,500000,6809.15
chandelier,10,1,1,0,0,40,,FALSE,FALSE,4338,3653,84.2093,100000,1444920.95,1344920.95,1344.92,-1.1,310.0325,35,5,-1380.5,14728.62,9.7024,310.0325,759,415,42.46,349033.08,500000,500000,6779.92
chandelier,20,1,1.5,0,0,40,,FALSE,FALSE,4318,3620,83.8351,100000,1445775.22,1345775.22,1345.78,-1.09,311.6663,34,3,-1323.08,14470.44,9.8392,311.6663,506,435,43.17,350422.43,500000,500000,6778.74
chandelier,15,1,1.5,0,0,40,,FALSE,FALSE,4340,3634,83.7327,100000,1447520.08,1347520.08,1347.52,-1.1,310.4885,34,5,-1313.42,14486.52,9.7516,310.4885,518,413,42.93,350397.75,500000,500000,6763.91
